F1,F2,F3,F4,F5,F6,F7,F8,F9
,Gia tri do duoc,Loc lan 1(50%),Loc lan 2(40%),Loc lan 3(30%),Loc lan 4(20%),Loc lan 5(10%),Loc lan 6(5%),Gia tri trung binh
,,,,,,,,
,0.004292965,0.004292965,0.004292965,0.004292965,0.004292965,0.004292965,0.004292965,
,0.006086111,0.004105091,0.004105091,0.004105091,0.004105091,0.004105091,0.004359007,
,0.004105091,0.004359007,0.004359007,0.004359007,0.004359007,0.004359007,,
,0.004359007,,,,,,,
,0.000921011,,,,,,,
,,,,,,,,
Trung bình,0.003952837,0.004252354,0.004252354,0.004252354,0.004252354,0.004252354,0.004325986,0.004252354
,,,,,,,,
,,,,,,,,
,0.004389048,0.004389048,0.004389048,0.004389048,0.004389048,0.004389048,0.004076958,
,0.004076958,0.004076958,0.004076958,0.004076958,0.004076958,0.004076958,0.004337072,
,0.004337072,0.004337072,0.004337072,0.004337072,0.004337072,0.004337072,0.00405097,
,0.00405097,0.00405097,0.00405097,0.00405097,0.00405097,0.00405097,0.004028082,
,0.004028082,0.004028082,0.004028082,0.004028082,0.004028082,0.004028082,,
,,,,,,,,
Trung bình,0.004176426,0.004176426,0.004176426,0.004176426,0.004176426,0.004176426,0.004123271,0.004176426
